Identifier,,,,NAME,DESCRIPTION,Data Structure,DATATYPE,TAG,ATTRIBUTES
,,,,,,,,,
Rack1 Slot 1 : Temperature Readout,,,,R1S1,RTDHDUFT1 Coil1 Inlet,REAL ARRAY,REAL,R1S1[0],Celsius
,,,,R1S1,RTDHDUFT2 Coil1 Outlet,,REAL,R1S1[1],Celsius
,,,,R1S1,RTDHDUFT3 Coil2 Inlet,,REAL,R1S1[2],Celsius
,,,,R1S1,RTDHDUFT4 Coil 2 Outlet,,REAL,R1S1[3],Celsius
,,,,R1S1,RTDHDUFT5 Coil 3 Inlet,,REAL,R1S1[4],Celsius
,,,,R1S1,RTDHDUFT6 Coil 3 Outlet,,REAL,R1S1[5],Celsius
,,,,,,,,,
Rack1 Slot 2 : Temperature Readout,,,,R1S2,RTDHDUFT7 Coil 4 Inlet,REAL ARRAY,REAL,R1S2[0],Celsius
,,,,R1S2,RTDHDUFT8 Coil 4 Outlet,,REAL,R1S2[1],Celsius
,,,,R1S2,Spare Temp,,REAL,R1S2[2],Celsius
,,,,R1S2,Spare Temp,,REAL,R1S2[3],Celsius
,,,,R1S2,Spare Temp,,REAL,R1S2[4],Celsius
,,,,R1S2,Spare Temp,,REAL,R1S2[5],Celsius
,,,,,,,,,
Rack1 Slot 3: Mixed Analog Readout,,,,R1S3,DVHDUFC1,REAL ARRAY,REAL,R1S3[0],Voltage
,,,,R1S3,DVHDUFC2,,REAL,R1S3[1],Voltage
,,,,R1S3,DVHDUFC3,,REAL,R1S3[2],Voltage
,,,,R1S3,DVHDUFC4,,REAL,R1S3[3],Voltage
,,,,R1S3,DVHDUFC1-4,,REAL,R1S3[4],Voltage
,,,,R1S3,PTHDUF1,,REAL,R1S3[5],PSI
,,,,R1S3,PTHDUF2,,REAL,R1S3[6],PSI
,,,,R1S3,FTHDUF1,,REAL,R1S3[7],GPM
,,,,,,,,,
Rack1 Slot 4 Input: Klixon Thermal Switchs,,,,R1S4I,TXHDUFC1,DINT,DINT,R1S4I.0,1=Overlimit
,,,,R1S4I,TXHDUFC2,,DINT,R1S4I.1,1=Overlimit
,,,,R1S4I,TXHDUFC3,,DINT,R1S4I.2,1=Overlimit
,,,,R1S4I,TXHDUFC4,,DINT,R1S4I.3,1=Overlimit
,,,,R1S4I,SPARE,,DINT,R1S4I.4,1=Overlimit
,,,,R1S4I,SPARE,,DINT,R1S4I.5,1=Overlimit
,,,,R1S4I,SPARE,,DINT,R1S4I.6,1=Overlimit
,,,,,,,,,
Rack 1 Slot 4 Output: Interlock out,,,,R1S4O,Interlock,DINT,DINT,R1S4O.0,1=Interlock
,,,,R1S4O,SPARE,,DINT,R1S4O.1,1=Interlock
,,,,R1S4O,SPARE,,DINT,R1S4O.2,1=Interlock
,,,,R1S4O,SPARE,,DINT,R1S4O.3,On/OFF
,,,,,,,,,
Reset Interlocks,,,,Reset,,BOOL,BOOL,,
,,,,,,,,,
,,,,,,,,,
Rack 1 Slot 1 Interlock,,,,R1S1_trip,RTDHDUFT1 Over Limit,DINT,DINT,R1S1_trip.0,1= trip
,,,,R1S1_trip,RTDHDUFT2 Over Limt,,DINT,R1S1_trip.1,1= trip
,,,,R1S1_trip,RTDHDUFT3 Over Limit,,DINT,R1S1_trip.2,1= trip
,,,,R1S1_trip,RTDHDUFT4 Over Limit,,DINT,R1S1_trip.3,1= trip
,,,,R1S1_trip,RTDHDUFT5 Over Limit,,DINT,R1S1_trip.4,1= trip
,,,,R1S1_trip,RTDHDUFT6 Over Limit,,DINT,R1S1_trip.5,1= trip
,,,,,,,,,
Rack 1 Slot 2 Intrlock,,,,R1S2_trip,RTDHDUFT7 Over Limit,DINT,DINT,R1S2_trip.0,1= trip
,,,,R1S2_trip,RTDHDUFT8 Over Limit,,DINT,R1S2_trip.1,1= trip
,,,,,,,,,
Rack 1 Slot 3 Intrlock,,,,R1S3_trip,DVHDUFC1 Over Limit,DINT,DINT,R1S3_trip.0,1= trip
,,,,R1S3_trip,DVHDUFC2 Over Limit,,DINT,R1S3_trip.1,1= trip
,,,,R1S3_trip,DVHDUFC3 Over Limit,,DINT,R1S3_trip.2,1= trip
,,,,R1S3_trip,DVHDUFC4 Over LImit,,DINT,R1S3_trip.3,1= trip
,,,,R1S3_trip,DVHDUFC1-C4 Overlimit,,DINT,R1S3_trip.4,1= trip
,,,,R1S3_trip,PTHDUF1 Under Limit,,DINT,R1S3_trip.5,1= trip
,,,,R1S3_trip,PTHDUF2 Unde rLimit,,DINT,R1S3_trip.6,1= trip
,,,,R1S3_trip,FTHDUF1 Under limit,,DINT,R1S3_trip.7,1= trip
,,,,,,,,,
Rack 1 Slot 4 Intrlock,,,,R1S4_trip,TXHDUFC1 Over Limit,DINT,DINT,R1S4_trip.0,1=Trip
,,,,R1S4_trip,TXHDUFC2 Over Limit,,DINT,R1S4_trip.1,1=Trip
,,,,R1S4_trip,TXHDUFC3 Overlimit,,DINT,R1S4_trip.2,1=Trip
,,,,R1S4_trip,TXHDUFC4 Overlimit,,DINT,R1S4_trip.3,1=Trip
