HallB,Torus,Cryo,Helium,,,,,,,
pv,description,latching,annunciating,delay,count,display title,display details,automated_action title,automated_action details,automated_action delay
B_TORUS:LHe:TR817C1,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=C",,,600
B_TORUS:LHe:TR817C2,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=C",,,600
B_TORUS:LHe:TR817C3,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=C",,,600
B_TORUS:LHe:TR817C4,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=C",,,600
B_TORUS:LHe:TR817C5,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=C",,,600
B_TORUS:LHe:TR817C6,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=C",,,600
B_TORUS:LHe:TR817C7,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=C",,,600
B_TORUS:LHe:TR817C8,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=C",,,600
B_TORUS:LHe:TR817C9,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=C",,,600
B_TORUS:LHe:TR817CR,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=C",,,600
B_TORUS:LHe:TR817CS,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=C",,,600
B_TORUS:LHe:TR817D1,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=D",,,600
B_TORUS:LHe:TR817D1HB1,Helium,TRUE,TRUE,5,5,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi,,,600
B_TORUS:LHe:TR817D2,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=D",,,600
B_TORUS:LHe:TR817D2HB1,Helium,TRUE,TRUE,5,5,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi,,,600
B_TORUS:LHe:TR817D3,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=D",,,600
B_TORUS:LHe:TR817D3HB1,Helium,TRUE,TRUE,5,5,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi,,,600
B_TORUS:LHe:TR817D4,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=D",,,600
B_TORUS:LHe:TR817D4HB1,Helium,TRUE,TRUE,5,5,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi,,,600
B_TORUS:LHe:TR817D5,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=D",,,600
B_TORUS:LHe:TR817D5HB1,Helium,TRUE,TRUE,5,5,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi,,,600
B_TORUS:LHe:TR817D6,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=D",,,600
B_TORUS:LHe:TR817D6HB1,Helium,TRUE,TRUE,5,5,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi,,,600
B_TORUS:LHe:TR817D7,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=D",,,600
B_TORUS:LHe:TR817D8,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=D",,,600
B_TORUS:LHe:TR817D9,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=D",,,600
B_TORUS:LHe:TR817DR,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=D",,,600
B_TORUS:LHe:TR817DS,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=D",,,600
B_TORUS:LHe:TR817E1,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=E",,,600
B_TORUS:LHe:TR817E2,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=E",,,600
B_TORUS:LHe:TR817E3,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=E",,,600
B_TORUS:LHe:TR817E4,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=E",,,600
B_TORUS:LHe:TR817E5,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=E",,,600
B_TORUS:LHe:TR817E6,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=E",,,600
B_TORUS:LHe:TR817E7,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=E",,,600
B_TORUS:LHe:TR817E8,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=E",,,600
B_TORUS:LHe:TR817E9,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=E",,,600
B_TORUS:LHe:TR817ER,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=E",,,600
B_TORUS:LHe:TR817ES,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=E",,,600
B_TORUS:LHe:TR817F1,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=F",,,600
B_TORUS:LHe:TR817F2,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=F",,,600
B_TORUS:LHe:TR817F3,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=F",,,600
B_TORUS:LHe:TR817F4,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=F",,,600
B_TORUS:LHe:TR817F5,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=F",,,600
B_TORUS:LHe:TR817F6,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=F",,,600
B_TORUS:LHe:TR817F7,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=F",,,600
B_TORUS:LHe:TR817F8,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=F",,,600
B_TORUS:LHe:TR817F9,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=F",,,600
B_TORUS:LHe:TR817FR,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=F",,,600
B_TORUS:LHe:TR817FS,Helium,TRUE,TRUE,5,5,Open Cernox GUI,"/CLAS12_Share/apps/plcApp/datatype_ccm_cernox.opi P=B_TORUS:,R=LHe:,LTR=F",,,600
B_TORUS:LHe:TR817U1HB1,Helium,TRUE,TRUE,5,5,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi,,,600
B_TORUS:LHe:TR817U1HB2,Helium,TRUE,TRUE,5,5,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi,,,600
B_TORUS:LHe:TR817U2HB1,Helium,TRUE,TRUE,5,5,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi,,,600
B_TORUS:LHe:TR817U2HB2,Helium,TRUE,TRUE,5,5,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi,,,600
B_TORUS:LHe:TR817U3HB1,Helium,TRUE,TRUE,5,5,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi,,,600
B_TORUS:LHe:TR817U3HB2,Helium,TRUE,TRUE,5,5,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi,,,600
B_TORUS:LHe:TR817U4HB1,Helium,TRUE,TRUE,5,5,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi,,,600
B_TORUS:LHe:TR817U4HB2,Helium,TRUE,TRUE,5,5,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi,,,600
B_TORUS:LHe:TR817U5HB1,Helium,TRUE,TRUE,5,5,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi,,,600
B_TORUS:LHe:TR817U5HB2,Helium,TRUE,TRUE,5,5,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi,,,600
B_TORUS:LHe:TR817U6HB1,Helium,TRUE,TRUE,5,5,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi,,,600
B_TORUS:LHe:TR817U6HB2,Helium,TRUE,TRUE,5,5,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi,,,600
B_TORUS:LHe:PT8111,Helium,TRUE,TRUE,5,5,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi,Auto email (HB Eng. On-Call),mailto:7577485048@messaging.sprintpcs.com,600
B_TORUS:LHe:PT8115,Helium,TRUE,TRUE,5,5,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi,Auto email (HB Eng. On-Call),mailto:7577485048@messaging.sprintpcs.com,600
B_TORUS:LHe:LL8120DP,Helium,TRUE,TRUE,5,5,Open Helium GUI,/CLAS12_Share/apps/plcApp/torus_LHe.opi,Auto email (HB Eng. On-Call),mailto:7577485048@messaging.sprintpcs.com,600
