HallB,Solenoid,COMM,,,,,,,,
pv, description, latching, annunciating,delay,count,display title,display details,automated_action title,automated_action details,automated_action delay
B_SOL:COMM:UPS_On_Battery,PLC On UPS Battery, true, true,5,5,Open Comm GUI,/CLAS12_Share/apps/plcApp/all_comm.opi,Auto email (HB Eng. On-Call),mailto:7577485048@messaging.sprintpcs.com,600
B_SOL:COMM:FAULT_24VDC,Rhino 24VDC PSU Status, true, true,5,5,Open Comm GUI,/CLAS12_Share/apps/plcApp/all_comm.opi,Auto email (HB Eng. On-Call),mailto:7577485048@messaging.sprintpcs.com,600
B_SOL:COMM:FAULT_24VDC2,Rhino 24VDC PSU Status, true, true,5,5,Open Comm GUI,/CLAS12_Share/apps/plcApp/all_comm.opi,Auto email (HB Eng. On-Call),mailto:7577485048@messaging.sprintpcs.com,600
B_SOL:COMM:FAULT_PWRLOSS,Power Loss Fault, true, true,5,5,Open Comm GUI,/CLAS12_Share/apps/plcApp/all_comm.opi,Auto email (HB Eng. On-Call),mailto:7577485048@messaging.sprintpcs.com,600
B_SOL:COMM:FAULT_IO,I/O Fault, true, true,5,5,Open Comm GUI,/CLAS12_Share/apps/plcApp/all_comm.opi,Auto email (HB Eng. On-Call),mailto:7577485048@messaging.sprintpcs.com,600
B_SOL:COMM:FAULT_EXE,Instr Exec Fault, true, true,5,5,Open Comm GUI,/CLAS12_Share/apps/plcApp/all_comm.opi,Auto email (HB Eng. On-Call),mailto:7577485048@messaging.sprintpcs.com,600
B_SOL:COMM:FAULT_HANDLER,Fault Handler, true, true,5,5,Open Comm GUI,/CLAS12_Share/apps/plcApp/all_comm.opi,Auto email (HB Eng. On-Call),mailto:7577485048@messaging.sprintpcs.com,600
B_SOL:COMM:FAULT_WATCHDOG,Watchdog Fault, true, true,5,5,Open Comm GUI,/CLAS12_Share/apps/plcApp/all_comm.opi,Auto email (HB Eng. On-Call),mailto:7577485048@messaging.sprintpcs.com,600
B_SOL:COMM:FAULT_STACK,Stack Fault, true, true,5,5,Open Comm GUI,/CLAS12_Share/apps/plcApp/all_comm.opi,Auto email (HB Eng. On-Call),mailto:7577485048@messaging.sprintpcs.com,600
B_SOL:COMM:FAULT_MODECHG,Mode Change Fault, true, true,5,5,Open Comm GUI,/CLAS12_Share/apps/plcApp/all_comm.opi,Auto email (HB Eng. On-Call),mailto:7577485048@messaging.sprintpcs.com,600
B_SOL:COMM:FAULT_MOTION,Motion Fault, true, true,5,5,Open Comm GUI,/CLAS12_Share/apps/plcApp/all_comm.opi,Auto email (HB Eng. On-Call),mailto:7577485048@messaging.sprintpcs.com,600
