HallB, Torus,MPS,,,,,,,,,,,
pv,description,latching,annunciating,delay,count,display title,display details,automated_action title,automated_action details,automated_action delay,automated_action title,automated_action details,automated_action delay
B_TORUS:MPS:Axial_Support_Interlock,Axial Support SG,true,true,5,5,Open Interlocks GUI,/CLAS12_Share/apps/plcApp/torus_mps_interlocks.opi,Auto email (kashy),mailto:kashy@jlab.org,600,Auto email (dinsley),mailto:dinsley@jlab.org,600
B_TORUS:MPS:CCM_LoadCell_Interlock,CCM Load Cell,true,true,5,5,Open Interlocks GUI,/CLAS12_Share/apps/plcApp/torus_mps_interlocks.opi,Auto email (kashy),mailto:kashy@jlab.org,600,Auto email (dinsley),mailto:dinsley@jlab.org,600
B_TORUS:MPS:cRIO_Comm_Error,cRIO Comm Error,true,true,5,5,Open Interlocks GUI,/CLAS12_Share/apps/plcApp/torus_mps_interlocks.opi,,,,,,
B_TORUS:MPS:Cryo_Interlock,"Cryo (LHe LL/Pres, LN2 LL/Pres)",true,true,5,5,Open Interlocks GUI,/CLAS12_Share/apps/plcApp/torus_mps_interlocks.opi,Auto email (kashy),mailto:kashy@jlab.org,600,Auto email (dinsley),mailto:dinsley@jlab.org,600
B_TORUS:MPS:DS_HB_SG_Interlock,DS Hex Beam SG,true,true,5,5,Open Interlocks GUI,/CLAS12_Share/apps/plcApp/torus_mps_interlocks.opi,Auto email (kashy),mailto:kashy@jlab.org,600,Auto email (dinsley),mailto:dinsley@jlab.org,600
B_TORUS:MPS:EPICS_FastDump,EPICS Fast Dump,true,true,5,5,Open Interlocks GUI,/CLAS12_Share/apps/plcApp/torus_mps_interlocks.opi,Auto email (kashy),mailto:kashy@jlab.org,600,Auto email (dinsley),mailto:dinsley@jlab.org,600
B_TORUS:MPS:EPICS_Watchdog_Fail,EPICS Watchdog Intlk,true,true,5,5,Open Interlocks GUI,/CLAS12_Share/apps/plcApp/torus_mps_interlocks.opi,Auto email (kashy),mailto:kashy@jlab.org,600,Auto email (dinsley),mailto:dinsley@jlab.org,600
B_TORUS:MPS:ESR_INTLCK,ESR Fault,true,true,5,5,Open Interlocks GUI,/CLAS12_Share/apps/plcApp/torus_mps_interlocks.opi,Auto email (kashy),mailto:kashy@jlab.org,600,Auto email (dinsley),mailto:dinsley@jlab.org,600
B_TORUS:MPS:FastDAQ_Status,FastDAQ Status,true,true,5,5,Open MPS GUI,/CLAS12_Share/apps/plcApp/torus_mps.opi,,,,,,
B_TORUS:MPS:FIRE,VESDA Fire Detection,true,true,5,5,Open Interlocks GUI,/CLAS12_Share/apps/plcApp/torus_mps_interlocks.opi,Auto email (kashy),mailto:kashy@jlab.org,600,Auto email (dinsley),mailto:dinsley@jlab.org,600
B_TORUS:MPS:FlagHeater_OutRange,Temp Sensor Failed,true,true,5,5,Open Interlocks GUI,/CLAS12_Share/apps/plcApp/torus_mps_interlocks.opi,,,,,,
B_TORUS:MPS:Hard_Overcurrent,Current Limit,true,true,5,5,Open Interlocks GUI,/CLAS12_Share/apps/plcApp/torus_mps_interlocks.opi,Auto email (kashy),mailto:kashy@jlab.org,600,Auto email (dinsley),mailto:dinsley@jlab.org,600
B_TORUS:MPS:I_WARNING,MPS Current Mismatch,true,true,5,5,Open MPS GUI,/CLAS12_Share/apps/plcApp/torus_mps.opi,,,,,,
B_TORUS:MPS:IntlkCtrlRampSum,Controlled Ramp Sum,true,true,5,5,Open MPS GUI,/CLAS12_Share/apps/plcApp/torus_mps.opi,,,,,,
