HallB,Torus,Cryo,Nitrogen,,,,,,,,,,
pv,description,latching,annunciating,delay,count,display title,display details,automated_action title,automated_action details,automated_action delay,automated_action title,automated_action details,automated_action delay
B_TORUS:LN2:EV8553,Nitrogen,TRUE,TRUE,5,5,Open Nitrogen GUI,/CLAS12_Share/apps/plcApp/torus_dbx.opi,Auto email (HB Eng. On-Call),mailto:7577485048@messaging.sprintpcs.com,600,Auto SMS (dinsley),mailto:7578979060@vtext.com,600
B_TORUS:LN2:CCM_A:PT100_1,Nitrogen,TRUE,TRUE,5,5,Open Nitrogen GUI,/CLAS12_Share/apps/plcApp/torus_LN2.opi,,,,,,
B_TORUS:LN2:CCM_A:PT100_2,Nitrogen,TRUE,TRUE,5,5,Open Nitrogen GUI,/CLAS12_Share/apps/plcApp/torus_LN2.opi,,,,,,
B_TORUS:LN2:CCM_A:PT100_3,Nitrogen,TRUE,TRUE,5,5,Open Nitrogen GUI,/CLAS12_Share/apps/plcApp/torus_LN2.opi,,,,,,
B_TORUS:LN2:CCM_A:PT100_4,Nitrogen,TRUE,TRUE,5,5,Open Nitrogen GUI,/CLAS12_Share/apps/plcApp/torus_LN2.opi,,,,,,
B_TORUS:LN2:CCM_A:PT100_5,Nitrogen,TRUE,TRUE,5,5,Open Nitrogen GUI,/CLAS12_Share/apps/plcApp/torus_LN2.opi,,,,,,
B_TORUS:LN2:CCM_B:PT100_1,Nitrogen,TRUE,TRUE,5,5,Open Nitrogen GUI,/CLAS12_Share/apps/plcApp/torus_LN2.opi,,,,,,
B_TORUS:LN2:CCM_B:PT100_2,Nitrogen,TRUE,TRUE,5,5,Open Nitrogen GUI,/CLAS12_Share/apps/plcApp/torus_LN2.opi,,,,,,
B_TORUS:LN2:CCM_B:PT100_3,Nitrogen,TRUE,TRUE,5,5,Open Nitrogen GUI,/CLAS12_Share/apps/plcApp/torus_LN2.opi,,,,,,
B_TORUS:LN2:CCM_B:PT100_4,Nitrogen,TRUE,TRUE,5,5,Open Nitrogen GUI,/CLAS12_Share/apps/plcApp/torus_LN2.opi,,,,,,
B_TORUS:LN2:CCM_B:PT100_5,Nitrogen,TRUE,TRUE,5,5,Open Nitrogen GUI,/CLAS12_Share/apps/plcApp/torus_LN2.opi,,,,,,
B_TORUS:LN2:CCM_C:PT100_1,Nitrogen,TRUE,TRUE,5,5,Open Nitrogen GUI,/CLAS12_Share/apps/plcApp/torus_LN2.opi,,,,,,
B_TORUS:LN2:CCM_C:PT100_2,Nitrogen,TRUE,TRUE,5,5,Open Nitrogen GUI,/CLAS12_Share/apps/plcApp/torus_LN2.opi,,,,,,
B_TORUS:LN2:CCM_C:PT100_3,Nitrogen,TRUE,TRUE,5,5,Open Nitrogen GUI,/CLAS12_Share/apps/plcApp/torus_LN2.opi,,,,,,
B_TORUS:LN2:CCM_C:PT100_4,Nitrogen,TRUE,TRUE,5,5,Open Nitrogen GUI,/CLAS12_Share/apps/plcApp/torus_LN2.opi,,,,,,
B_TORUS:LN2:CCM_C:PT100_5,Nitrogen,TRUE,TRUE,5,5,Open Nitrogen GUI,/CLAS12_Share/apps/plcApp/torus_LN2.opi,,,,,,
B_TORUS:LN2:CCM_D:PT100_1,Nitrogen,TRUE,TRUE,5,5,Open Nitrogen GUI,/CLAS12_Share/apps/plcApp/torus_LN2.opi,,,,,,
B_TORUS:LN2:CCM_D:PT100_2,Nitrogen,TRUE,TRUE,5,5,Open Nitrogen GUI,/CLAS12_Share/apps/plcApp/torus_LN2.opi,,,,,,
B_TORUS:LN2:CCM_D:PT100_3,Nitrogen,TRUE,TRUE,5,5,Open Nitrogen GUI,/CLAS12_Share/apps/plcApp/torus_LN2.opi,,,,,,
B_TORUS:LN2:CCM_D:PT100_4,Nitrogen,TRUE,TRUE,5,5,Open Nitrogen GUI,/CLAS12_Share/apps/plcApp/torus_LN2.opi,,,,,,
B_TORUS:LN2:CCM_D:PT100_5,Nitrogen,TRUE,TRUE,5,5,Open Nitrogen GUI,/CLAS12_Share/apps/plcApp/torus_LN2.opi,,,,,,
B_TORUS:LN2:CCM_E:PT100_1,Nitrogen,TRUE,TRUE,5,5,Open Nitrogen GUI,/CLAS12_Share/apps/plcApp/torus_LN2.opi,,,,,,
