PV Name,Archive?,Deadband,Alarm Guidance,Related Display,Email/SMS
TGT:BTARG:Evaporator_FC,T,0.05,,exhaust.bob,xwei@jlab.org
TGT:BTARG:Evaporator_FI,T,0.05,Value out of normal operating range. Contact target expert on-call.,exhaust.bob,xwei@jlab.org
TGT:BTARG:Evaporator_FMode,T,0,,exhaust.bob,xwei@jlab.org
TGT:BTARG:Precool_FC,T,0.05,,exhaust.bob,xwei@jlab.org
TGT:BTARG:Precool_FI,T,0.05,Value out of normal operating range. Contact target expert on-call.,exhaust.bob,xwei@jlab.org
TGT:BTARG:Precool_FMode,T,0,,exhaust.bob,xwei@jlab.org
TGT:BTARG:Shield_FC,T,0.05,,exhaust.bob,xwei@jlab.org
TGT:BTARG:Shield_FI,T,0.05,Value out of normal operating range. Contact target expert on-call.,exhaust.bob,xwei@jlab.org
TGT:BTARG:Shield_FMode,T,0,,exhaust.bob,xwei@jlab.org
TGT:BTARG:Cell_Top_TI,T,0.01,Value out of normal operating range. Contact target expert on-call.,,xwei@jlab.org
TGT:BTARG:Cell_Bottom_TI,T,0.01,Value out of normal operating range. Contact target expert on-call.,,xwei@jlab.org
TGT:BTARG:Evaporator_Out_TI,T,0.01,Value out of normal operating range. Contact target expert on-call.,,xwei@jlab.org
TGT:BTARG:Shield_DS_TI,T,0.01,Value out of normal operating range. Contact target expert on-call.,,xwei@jlab.org
TGT:BTARG:Shield_Plate_TI,T,0.01,Value out of normal operating range. Contact target expert on-call.,,xwei@jlab.org
TGT:BTARG:Reservoir_Bottom_TI,T,0.01,Value out of normal operating range. Contact target expert on-call.,,xwei@jlab.org
TGT:BTARG:Reservoir_Top_TI,T,0.01,Value out of normal operating range. Contact target expert on-call.,,xwei@jlab.org
TGT:BTARG:Shield_Bottom_TI,T,0.01,Value out of normal operating range. Contact target expert on-call.,,xwei@jlab.org
TGT:BTARG:Shield_Top_TI,T,0.01,Value out of normal operating range. Contact target expert on-call.,,xwei@jlab.org
TGT:BTARG:Coolant_B_TI,T,0.01,Value out of normal operating range. Contact target expert on-call.,LS336_PID.bob,xwei@jlab.org
TGT:BTARG:Coolant_Heater,T,0.0001,,LS336_PID.bob,xwei@jlab.org
TGT:BTARG:Coolant_kD,T,0.0001,,LS336_PID.bob,xwei@jlab.org
TGT:BTARG:Coolant_kI,T,0.0001,,LS336_PID.bob,xwei@jlab.org
TGT:BTARG:Coolant_kP,T,0.0001,,LS336_PID.bob,xwei@jlab.org
TGT:BTARG:Coolant_Manual,T,0.0001,,LS336_PID.bob,xwei@jlab.org
TGT:BTARG:Coolant_Mode,T,0,,LS336_PID.bob,xwei@jlab.org
TGT:BTARG:Coolant_Range,T,0,,LS336_PID.bob,xwei@jlab.org
TGT:BTARG:Coolant_SP,T,0.0001,,LS336_PID.bob,xwei@jlab.org
TGT:BTARG:Coolant_TI,T,0.01,Value out of normal operating range. Contact target expert on-call.,LS336_PID.bob,xwei@jlab.org
TGT:BTARG:Evaporator_B_TI,T,0.01,Value out of normal operating range. Contact target expert on-call.,LS336_PID.bob,xwei@jlab.org
TGT:BTARG:Evaporator_Heater,T,0.0001,,LS336_PID.bob,xwei@jlab.org
TGT:BTARG:Evaporator_kD,T,0.0001,,LS336_PID.bob,xwei@jlab.org
TGT:BTARG:Evaporator_kI,T,0.0001,,LS336_PID.bob,xwei@jlab.org
TGT:BTARG:Evaporator_kP,T,0.0001,,LS336_PID.bob,xwei@jlab.org
TGT:BTARG:Evaporator_Manual,T,0.0001,,LS336_PID.bob,xwei@jlab.org
TGT:BTARG:Evaporator_Mode,T,0,,LS336_PID.bob,xwei@jlab.org
TGT:BTARG:Evaporator_Range,T,0,,LS336_PID.bob,xwei@jlab.org
TGT:BTARG:Evaporator_SP,T,0.0001,,LS336_PID.bob,xwei@jlab.org
TGT:BTARG:Evaporator_TI,T,0.01,Value out of normal operating range. Contact target expert on-call.,LS336_PID.bob,xwei@jlab.org
TGT:BTARG:Shield_Exhaust_SP1,T,0.0001,,exhaust.bob,xwei@jlab.org
TGT:BTARG:Shield_Exhaust_SP2,T,0.0001,,exhaust.bob,xwei@jlab.org
TGT:BTARG:Shield_Exhaust_TI,T,0.01,Value out of normal operating range. Contact target expert on-call.,exhaust.bob,xwei@jlab.org
TGT:BTARG:Evaporator_Exhaust_SP1,T,0.0001,,exhaust.bob,xwei@jlab.org
TGT:BTARG:Evaporator_Exhaust_SP2,T,0.0001,,exhaust.bob,xwei@jlab.org
TGT:BTARG:Evaporator_Exhaust_TI,T,0.01,Value out of normal operating range. Contact target expert on-call.,exhaust.bob,xwei@jlab.org
TGT:BTARG:Precool_Exhaust_SP1,T,0.0001,,exhaust.bob,xwei@jlab.org
TGT:BTARG:Precool_Exhaust_SP2,T,0.0001,,exhaust.bob,xwei@jlab.org
TGT:BTARG:Precool_Exhaust_TI,T,0.01,Value out of normal operating range. Contact target expert on-call.,exhaust.bob,xwei@jlab.org
TGT:BTARG:Evap_Exhaust_PI,T,0.05,Value out of normal operating range. Contact target expert on-call.,exhaust.bob,xwei@jlab.org
TGT:BTARG:Precool_Exhaust_PI,T,0.05,Value out of normal operating range. Contact target expert on-call.,exhaust.bob,xwei@jlab.org
TGT:BTARG:Shield_Exhaust_PI,T,0.05,Value out of normal operating range. Contact target expert on-call.,exhaust.bob,xwei@jlab.org
TGT:BTARG:Target_Return_PI,T,0.05,Value out of normal operating range. Contact target expert on-call.,target.bob,xwei@jlab.org
TGT:BTARG:Target_Supply_PI,T,0.05,Value out of normal operating range. Contact target expert on-call.,target.bob,xwei@jlab.org
TGT:BTARG:3He_Tank_PI,T,0.05,Value out of normal operating range. Contact target expert on-call.,target.bob,xwei@jlab.org
TGT:BTARG:4He_Tank_PI,T,0.05,Value out of normal operating range. Contact target expert on-call.,target.bob,xwei@jlab.org
TGT:BTARG:D2_Tank_PI,T,0.05,Value out of normal operating range. Contact target expert on-call.,target.bob,xwei@jlab.org
TGT:BTARG:H2_Tank_PI,T,0.05,Value out of normal operating range. Contact target expert on-call.,target.bob,xwei@jlab.org
TGT:BTARG:Gate_Bypass_Sw_On_DI,T,0,,valves.bob,xwei@jlab.org
TGT:BTARG:Vacuum_Sw_Fault_DI,T,,Value out of normal operating range. Contact target expert on-call.,valves.bob,xwei@jlab.org
TGT:BTARG:Vacuum_Sw_Good_DI,T,0,,valves.bob,xwei@jlab.org
TGT:BTARG:Vacuum_Sw_SP_Fault_DI,T,,Value out of normal operating range. Contact target expert on-call.,valves.bob,xwei@jlab.org
TGT:BTARG:Vent_Purge_Fault_DI,T,,Value out of normal operating range. Contact target expert on-call.,valves.bob,xwei@jlab.org
TGT:BTARG:Vent_Purge_Good_DI,T,0,,valves.bob,xwei@jlab.org
TGT:BTARG:Exhaust_to_Vent_DI,T,0,,valves.bob,xwei@jlab.org
TGT:BTARG:Exhaust_to_Warm_DI,T,0,,valves.bob,xwei@jlab.org
TGT:BTARG:FlipFlop_DO,T,0,,valves.bob,xwei@jlab.org
